









Frequency of observations in the selected location(s).:
Number of taxa: 	955

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Barnacle x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	1.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan	0.0027112	0.0025806	0.002961	0.0030839	0.0026097	0.0021139	0.0017566	0.0019241	0.0015178	0.0020032	0.0016945	0.0015836	0.0012028	0.0013666	9.876E-4	9.211E-4	0.0012651	9.679E-4	0.0013065	0.0018211	0.0017286	0.0015959	0.0014884	0.0014881	0.0014692	0.0011987	0.0017254	0.0014585	0.0016318	0.0012674	0.0012502	0.0010947	9.2E-4	8.383E-4	0.0014001	0.0010109	7.712E-4	9.366E-4	9.166E-4	0.0011364	0.0014624	0.0020785	0.0016271	0.0024867	0.0023574	0.0019861	0.0018801	0.0024075	
Black Swan	9.941E-4	7.657E-4	9.059E-4	8.511E-4	8.554E-4	8.765E-4	8.983E-4	6.55E-4	5.984E-4	7.217E-4	4.664E-4	5.353E-4	4.218E-4	4.3E-4	1.888E-4	2.598E-4	4.098E-4	2.323E-4	5.487E-4	5.603E-4	7.333E-4	6.323E-4	5.271E-4	5.388E-4	4.198E-4	5.085E-4	6.975E-4	3.071E-4	4.08E-4	2.398E-4	2.303E-4	3.128E-4	3.624E-4	2.313E-4	1.373E-4	2.476E-4	2.169E-4	4.072E-4	4.69E-4	3.085E-4	3.375E-4	8.181E-4	5.424E-4	7.712E-4	7.585E-4	6.753E-4	7.051E-4	9.028E-4	
Black-necked Swan	3.05E-4	2.41E-4	2.839E-4	2.503E-4	2.9E-4	2.965E-4	2.395E-4	1.365E-4	1.459E-4	1.62E-4	7.77E-5	8.92E-5	6.25E-5	9.21E-5	1.017E-4	5.9E-5	7.13E-5	1.549E-4	7.84E-5	1.401E-4	2.095E-4	1.807E-4	1.24E-4	7.7E-5	2.099E-4	7.26E-5	1.836E-4	5.12E-5	1.02E-4	1.37E-4	3.29E-5	1.34E-4	8.36E-5	2.89E-5	2.75E-5	4.13E-5	4.82E-5	1.018E-4	8.53E-5	1.461E-4	1.35E-4	3.759E-4	1.302E-4	1.416E-4	3.075E-4	1.589E-4	1.343E-4	2.906E-4	
Trumpeter Swan	1.356E-4	1.56E-4	1.758E-4	6.01E-5	7.25E-5	2.58E-5	2.99E-5	5.46E-5	2.627E-4	1.326E-4	1.244E-4	3.35E-5	1.25E-4	1.382E-4	8.71E-5	1.417E-4	3.56E-5	5.81E-5	1.045E-4	1.801E-4	2.62E-5	9.03E-5	3.1E-5	1.539E-4	7.0E-5	3.63E-5	7.34E-5	2.56E-5	0.0015	0.0	4.935E-4	2.23E-5	1.673E-4	8.67E-5	8.24E-5	8.25E-5	9.64E-5	6.11E-5	8.53E-5	9.74E-5	9.0E-5	1.769E-4	1.302E-4	1.102E-4	2.05E-5	3.97E-5	1.175E-4	1.868E-4	
Tundra Swan	0.0	1.42E-5	0.0	5.01E-5	0.0	1.29E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.974E-4	2.21E-5	0.0	1.57E-5	0.0	0.0	0.0	0.0	
Trumpeter/Tundra Swan	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Whooper Swan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36E-5	1.46E-5	0.0015	1.55E-5	1.12E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62E-5	6.75E-5	2.21E-5	0.0015	1.57E-5	0.0	0.0	0.0	0.0	
swan sp.	0.0	0.0	1.35E-5	0.0015	0.0015	1.29E-5	0.0	0.0015	1.46E-5	8.84E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25E-5	0.0	0.0	1.57E-5	2.05E-5	1.99E-5	0.0	0.0015	
