









Frequency of observations in the selected location(s).:
Number of taxa: 	955

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Golden-fronted/Red-bellied Woodpecker	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Downy Woodpecker	0.1606588	0.1671157	0.1700333	0.1698657	0.1843883	0.18314	0.185071	0.1988374	0.1944805	0.1937166	0.1900039	0.1923853	0.1925925	0.1932036	0.2087079	0.2086635	0.2136952	0.2061135	0.2112098	0.2091455	0.199911	0.2055644	0.2103876	0.2106168	0.2166719	0.210207	0.2086637	0.2144063	0.2146864	0.2404344	0.2586939	0.2774067	0.2991553	0.3263377	0.338467	0.3485724	0.3423869	0.3317453	0.3196905	0.2819572	0.2299991	0.1991642	0.1826051	0.1814376	0.1770289	0.1820258	0.1845224	0.1782579	
Red-cockaded Woodpecker	0.0039425	0.0048635	0.0046916	0.0059776	0.004393	0.003983	0.0040621	0.0052265	0.0046701	0.005818	0.0063428	0.0056318	0.0042802	0.0035011	0.0047925	0.0046648	0.0046506	0.0048591	0.0056964	0.0061437	0.0050809	0.005179	0.0053023	0.0054906	0.0047574	0.0041773	0.0040015	0.0028659	0.0029237	0.0021581	0.0021385	0.0016756	0.0019236	0.0014165	0.0018668	0.0016711	0.0018316	0.001812	0.0022809	0.0024676	0.0024298	0.0025429	0.0023647	0.0025497	0.0032388	0.0032572	0.0032063	0.0029782	
Hairy Woodpecker	0.0022254	0.0026799	0.0024066	0.0022729	0.0025227	0.0021011	0.0019163	0.0022925	0.0024518	0.0031667	0.0027983	0.0015278	0.0015465	0.0013666	0.0011328	0.001181	0.0013186	0.0013551	0.0017768	0.001701	0.0016238	0.0016862	0.0017984	0.0018216	0.001924	0.0011987	6.241E-4	8.7E-4	9.179E-4	0.0010276	0.0011186	0.0010053	9.2E-4	0.0011852	0.0010707	0.0013203	0.0010604	0.0014456	0.0014282	0.0015747	0.0016874	0.0011941	0.0016054	0.0015896	0.0019269	0.002006	0.0016619	0.0020028	
Downy/Hairy Woodpecker	2.372E-4	2.694E-4	3.651E-4	2.804E-4	2.175E-4	7.476E-4	0.0012077	4.23E-4	2.773E-4	3.682E-4	2.332E-4	3.457E-4	2.343E-4	2.61E-4	2.614E-4	3.07E-4	2.316E-4	5.227E-4	2.352E-4	1.001E-4	2.095E-4	2.409E-4	4.031E-4	2.053E-4	3.5E-5	2.543E-4	1.468E-4	2.815E-4	1.02E-4	1.37E-4	2.632E-4	3.128E-4	2.23E-4	2.602E-4	2.745E-4	3.095E-4	1.446E-4	3.461E-4	2.771E-4	2.76E-4	2.25E-4	1.99E-4	2.603E-4	3.62E-4	1.435E-4	3.178E-4	2.182E-4	2.594E-4	
Pileated Woodpecker	0.1177208	0.1167087	0.118615	0.1213942	0.1313393	0.1326115	0.1263848	0.1489063	0.1486552	0.1515178	0.1553051	0.1694343	0.1733629	0.1742395	0.1748406	0.1670347	0.1583693	0.1497406	0.1435589	0.1344207	0.1180661	0.1170998	0.1155349	0.119766	0.1257914	0.1239738	0.1311674	0.1431423	0.1485637	0.1691501	0.18582	0.1962199	0.2102813	0.2196687	0.2305496	0.2335369	0.2217429	0.206165	0.1985675	0.1766453	0.1532127	0.1362993	0.1304942	0.1293105	0.1292048	0.1275074	0.1342119	0.1254903	
Northern Flicker	0.0380466	0.0382129	0.0368162	0.0386491	0.040305	0.0379221	0.0341138	0.040911	0.0372587	0.0381041	0.0377925	0.0330214	0.0284148	0.0237858	0.0223071	0.0224973	0.021774	0.0230564	0.0237	0.0257154	0.023388	0.0270995	0.0252093	0.0257338	0.0248015	0.0244824	0.0251836	0.0199335	0.0195818	0.0206899	0.0212206	0.0217824	0.0233336	0.023444	0.0253116	0.0294809	0.0363426	0.0581888	0.0697917	0.0652943	0.0543332	0.0449761	0.0437367	0.0444308	0.0408749	0.0415293	0.0461978	0.0399934	
woodpecker sp.	7.117E-4	4.679E-4	7.707E-4	6.608E-4	6.669E-4	9.539E-4	0.0015171	5.458E-4	8.319E-4	7.806E-4	6.218E-4	6.803E-4	4.999E-4	4.914E-4	5.519E-4	5.432E-4	4.811E-4	6.195E-4	6.271E-4	6.604E-4	6.809E-4	6.022E-4	4.961E-4	5.131E-4	3.848E-4	5.085E-4	6.975E-4	5.374E-4	4.759E-4	5.481E-4	4.606E-4	4.692E-4	2.23E-4	3.18E-4	4.118E-4	4.332E-4	2.892E-4	4.479E-4	4.903E-4	5.195E-4	3.6E-4	4.644E-4	5.641E-4	4.564E-4	8.2E-4	6.753E-4	6.043E-4	5.5E-4	
Crested Caracara	0.0103702	0.0113575	0.0121143	0.0122456	0.0116131	0.0097448	0.0093918	0.0103165	0.0111499	0.0104429	0.0117839	0.0101038	0.0090759	0.0072171	0.0070436	0.0067315	0.0065393	0.0067369	0.0074471	0.006744	0.0096119	0.0081298	0.008093	0.0075431	0.0085703	0.0076644	0.0079295	0.0096725	0.0097909	0.010619	0.0107254	0.0073278	0.0056034	0.0047408	0.005271	0.0042292	0.0050369	0.0047642	0.0048603	0.0063476	0.0080994	0.0079825	0.0096976	0.0097581	0.0101675	0.0092155	0.0090482	0.0081668	
Yellow-headed Caracara	3.163E-4	1.843E-4	2.028E-4	3.304E-4	1.305E-4	7.73E-5	1.297E-4	2.729E-4	1.459E-4	2.651E-4	3.11E-5	1.227E-4	1.093E-4	4.61E-5	8.71E-5	2.008E-4	2.316E-4	5.81E-5	1.045E-4	4.403E-4	1.571E-4	1.204E-4	6.2E-5	4.362E-4	2.099E-4	3.269E-4	1.101E-4	2.303E-4	6.8E-5	0.0	0.0	2.23E-5	0.0	0.0	2.75E-5	2.06E-5	2.41E-5	2.04E-5	4.26E-5	6.49E-5	6.75E-5	0.0015	6.51E-5	1.574E-4	1.23E-4	1.787E-4	3.36E-5	3.11E-5	
American Kestrel	0.1394214	0.1309163	0.1321625	0.1226558	0.1131006	0.1003996	0.0868315	0.0986067	0.098291	0.0931318	0.0910532	0.0748085	0.0458479	0.0256745	0.0170063	0.0134039	0.0116532	0.012622	0.0123073	0.013268	0.0200094	0.0205053	0.0195039	0.0195505	0.0207087	0.0189975	0.0185756	0.0189099	0.0186979	0.0199363	0.0194769	0.0202855	0.0196816	0.0194837	0.0255861	0.0401881	0.0671181	0.1002728	0.129394	0.1567908	0.1604347	0.1561781	0.1527965	0.1485276	0.1521432	0.1500099	0.1560349	0.1356495	
Merlin	0.0127425	0.0121657	0.014521	0.0126461	0.0106417	0.0089198	0.0075454	0.0075872	0.0081289	0.0084398	0.0083793	0.0091782	0.0133248	0.0178432	0.0213341	0.0144195	0.0088557	0.0027102	6.271E-4	2.401E-4	7.86E-5	3.01E-5	0.0	2.57E-5	3.5E-5	0.0	3.67E-5	2.56E-5	0.0	0.0015	1.645E-4	4.692E-4	0.0013939	0.0052323	0.0222369	0.0353813	0.0477418	0.0506352	0.0442114	0.0380532	0.0277853	0.0208739	0.0201328	0.0168091	0.0184081	0.0161867	0.0160148	0.0135317	
Peregrine Falcon	0.0099409	0.0088762	0.0107623	0.0099526	0.0088004	0.0071668	0.0064874	0.005554	0.0062025	0.0065102	0.0058764	0.0056541	0.0055299	0.0071096	0.008249	0.0075699	0.0040804	0.0015681	3.397E-4	6.0E-5	0.0	0.0015	3.1E-5	7.7E-5	0.0	7.26E-5	3.67E-5	5.12E-5	3.4E-5	1.028E-4	2.632E-4	5.585E-4	0.0023138	0.005637	0.0112282	0.0222809	0.0456934	0.0482124	0.031741	0.0216565	0.0163337	0.0131567	0.0127782	0.0117727	0.0124019	0.0108838	0.00977	0.0092045	
large falcon sp.	0.0	2.84E-5	0.0	2.0E-5	1.45E-5	0.0	1.0E-5	0.0	1.46E-5	1.47E-5	0.0	0.0	0.0	0.0	4.36E-5	0.0	0.0	0.0	0.0	2.0E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29E-5	0.0	0.0	0.0	2.75E-5	0.0	7.23E-5	8.14E-5	2.13E-5	1.62E-5	6.75E-5	0.0	2.17E-5	0.0015	0.0	5.96E-5	0.0	0.0	
small falcon sp.	1.017E-4	5.67E-5	5.41E-5	6.01E-5	1.45E-4	6.44E-5	2.99E-5	4.09E-5	1.022E-4	1.62E-4	1.088E-4	7.81E-5	1.093E-4	1.075E-4	5.81E-5	2.36E-5	8.91E-5	3.87E-5	0.0	6.0E-5	2.62E-5	0.0	3.1E-5	2.57E-5	0.0	3.63E-5	0.0	2.56E-5	3.4E-5	0.0	0.0	0.0	2.79E-5	5.78E-5	1.922E-4	3.713E-4	5.302E-4	8.958E-4	4.477E-4	4.708E-4	2.475E-4	2.875E-4	2.603E-4	1.574E-4	4.1E-5	1.589E-4	8.39E-5	1.038E-4	
falcon sp.	2.824E-4	1.843E-4	2.298E-4	2.103E-4	2.03E-4	1.933E-4	2.795E-4	8.19E-5	2.043E-4	2.504E-4	2.643E-4	2.453E-4	1.562E-4	2.15E-4	5.083E-4	2.008E-4	7.13E-5	5.81E-5	5.23E-5	6.0E-5	7.86E-5	1.506E-4	6.2E-5	2.57E-5	0.0	3.63E-5	0.0	5.12E-5	3.4E-5	1.37E-4	9.87E-5	4.47E-5	1.394E-4	3.18E-4	7.412E-4	9.077E-4	0.0015424	0.0014252	0.0011724	9.091E-4	6.749E-4	3.759E-4	1.953E-4	3.935E-4	2.87E-4	2.185E-4	1.847E-4	2.283E-4	
diurnal raptor sp.	6.78E-5	7.09E-5	1.35E-5	2.0E-5	1.015E-4	6.44E-5	5.99E-5	2.73E-5	2.92E-5	5.89E-5	3.11E-5	7.81E-5	6.25E-5	6.14E-5	2.9E-5	2.36E-5	5.35E-5	9.68E-5	2.61E-5	0.0	2.62E-5	6.02E-5	9.3E-5	0.0	0.0	3.63E-5	7.34E-5	2.56E-5	0.0	0.0	6.58E-5	6.7E-5	1.115E-4	2.89E-5	5.49E-5	8.25E-5	1.446E-4	2.85E-4	1.066E-4	1.786E-4	4.5E-5	1.769E-4	8.68E-5	9.44E-5	4.1E-5	9.93E-5	1.007E-4	7.26E-5	
Cockatiel	5.65E-5	1.702E-4	1.082E-4	3.0E-5	2.9E-5	2.58E-5	3.99E-5	2.73E-5	7.3E-5	1.47E-5	4.66E-5	6.69E-5	1.56E-5	7.68E-5	1.017E-4	1.653E-4	5.35E-5	7.74E-5	2.61E-5	1.001E-4	7.86E-5	3.01E-5	0.0015	5.13E-5	7.0E-5	1.09E-4	7.34E-5	1.024E-4	3.06E-4	0.0015	1.645E-4	2.011E-4	2.23E-4	2.891E-4	1.098E-4	2.06E-5	1.205E-4	1.629E-4	8.53E-5	6.49E-5	1.125E-4	6.63E-5	4.34E-5	7.87E-5	4.1E-5	9.93E-5	1.847E-4	6.23E-5	
Galah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White Cockatoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Sulphur-crested Cockatoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
corella/white cockatoo sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Regent Parrot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57E-5	0.0	0.0	0.0	0.0	
Papuan Eclectus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
eclectus sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rose-ringed Parakeet	2.146E-4	1.702E-4	2.434E-4	3.204E-4	3.625E-4	2.578E-4	3.393E-4	3.412E-4	4.086E-4	3.977E-4	4.042E-4	3.123E-4	4.686E-4	4.453E-4	3.195E-4	4.606E-4	3.564E-4	1.549E-4	2.352E-4	2.201E-4	7.86E-5	3.914E-4	2.481E-4	2.566E-4	2.449E-4	2.543E-4	2.937E-4	7.68E-5	2.72E-4	2.74E-4	3.619E-4	3.351E-4	3.067E-4	1.734E-4	1.098E-4	2.682E-4	2.169E-4	6.11E-5	2.132E-4	1.786E-4	1.8E-4	2.211E-4	1.519E-4	2.203E-4	2.46E-4	1.986E-4	1.343E-4	3.009E-4	
Plum-headed Parakeet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red-breasted Parakeet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Crimson Rosella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68E-5	0.0	
Eastern Rosella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57E-5	0.0	0.0	0.0	2.56E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57E-5	0.0	0.0	0.0	0.0	
Crimson x Eastern Rosella (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5E-5	3.63E-5	7.34E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Budgerigar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rosy-faced Lovebird	0.0	0.0	0.0	0.0	1.45E-5	0.0	0.0015	0.0015	0.0015	1.47E-5	0.0	0.0	1.56E-5	0.0015	0.0	0.0	1.78E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.57E-5	0.0	0.0	3.67E-5	2.56E-5	3.4E-5	6.85E-5	9.87E-5	2.23E-5	2.79E-5	0.0	0.0015	2.06E-5	0.0	0.0	0.0	0.0	2.25E-5	2.21E-5	0.0	0.0	0.0	1.99E-5	0.0	0.0	
Fischer's Lovebird	0.0	0.0	0.0	0.0	0.0015	1.29E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45E-5	0.0	1.78E-5	0.0	0.0	0.0	0.0015	3.01E-5	0.0	1.283E-4	7.0E-5	0.0	0.0	2.56E-5	3.4E-5	0.0	0.0	0.0	0.0	0.0	0.0	2.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Yellow-collared Lovebird	0.0	0.0	0.0	1.0E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5E-5	0.0	0.0	1.024E-4	6.8E-5	1.028E-4	9.87E-5	6.7E-5	2.79E-5	0.0	2.75E-5	2.06E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05E-5	5.96E-5	5.04E-5	5.19E-5	
Fischer's x Yellow-collared Lovebird (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68E-5	0.0	
Domestic lovebird sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23E-5	0.0	0.0	2.75E-5	0.0	0.0	0.0	0.0	0.0	0.0	6.63E-5	2.17E-5	0.0	0.0	0.0	0.0	0.0	
lovebird sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63E-5	0.0	0.0	6.8E-5	3.43E-5	0.0	0.0	0.0	0.0	2.75E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Gray Parrot	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-fronted Parrot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Monk Parakeet	0.0208307	0.0201344	0.0194289	0.0170416	0.0190072	0.0178525	0.016498	0.0168802	0.0175275	0.0171152	0.0165255	0.0150108	0.015996	0.0134515	0.0131722	0.0150808	0.0143081	0.015913	0.0139012	0.0160296	0.0172071	0.016892	0.0166512	0.0177032	0.0171756	0.0187432	0.0173275	0.0182702	0.0171001	0.0172644	0.018457	0.0164652	0.017786	0.0182118	0.0181464	0.0173915	0.0177616	0.0165527	0.0190147	0.0210883	0.0241406	0.0214709	0.0218901	0.0214521	0.0224668	0.0218868	0.0210173	0.0210344	
White-winged Parakeet	2.146E-4	1.134E-4	1.893E-4	1.302E-4	1.885E-4	2.062E-4	1.797E-4	2.729E-4	3.065E-4	2.357E-4	3.887E-4	3.903E-4	2.499E-4	1.996E-4	5.083E-4	6.731E-4	3.207E-4	1.936E-4	1.307E-4	1.201E-4	1.571E-4	2.108E-4	1.86E-4	2.309E-4	1.749E-4	2.543E-4	3.304E-4	1.279E-4	3.4E-5	3.43E-5	6.58E-5	1.117E-4	2.79E-5	1.156E-4	8.24E-5	8.25E-5	2.41E-5	8.14E-5	2.13E-5	9.74E-5	2.25E-5	1.327E-4	8.68E-5	1.102E-4	8.2E-5	1.39E-4	1.343E-4	3.632E-4	
Yellow-chevroned Parakeet	0.0017623	0.0019142	0.0017577	0.001562	0.0021167	0.0018819	0.0019063	0.0020742	0.0016929	0.0020473	0.0022853	0.0023419	0.0023744	0.0021651	0.0032531	0.0036964	0.0024411	0.0025941	0.0018814	0.001741	0.0016762	0.001355	0.0014264	0.0013855	0.001784	0.0022521	0.0015419	0.0015609	0.0012919	0.0015415	0.0016121	0.0014298	0.0022023	0.0016477	0.0017844	0.0019599	0.0021449	0.0025857	0.0025367	0.0032631	0.0024748	0.0020122	0.0020393	0.0024395	0.0025829	0.0024628	0.0024173	0.0033933	
White-winged x Yellow-chevroned Parakeet (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47E-5	1.55E-5	0.0	1.56E-5	0.0	0.0	1.18E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
White-winged/Yellow-chevroned Parakeet	1.017E-4	2.84E-5	1.35E-5	3.0E-5	2.9E-5	2.58E-5	3.99E-5	1.092E-4	1.459E-4	1.178E-4	9.33E-5	6.69E-5	6.25E-5	1.075E-4	7.26E-5	1.181E-4	1.069E-4	9.68E-5	7.84E-5	4.0E-5	1.048E-4	1.506E-4	0.0015	7.7E-5	3.5E-5	7.26E-5	3.67E-5	2.56E-5	6.8E-5	0.0015	0.0	6.7E-5	5.58E-5	2.89E-5	5.49E-5	4.13E-5	2.41E-5	8.14E-5	8.53E-5	1.62E-5	6.75E-5	2.21E-5	8.68E-5	3.15E-5	4.1E-5	1.99E-5	6.71E-5	4.15E-5	
Brotogeris sp.	0.0	0.0	0.0	0.0	0.0	1.29E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Scaly-headed Parrot	0.0	0.0015	0.0	0.0	0.0	0.0	2.99E-5	1.36E-5	0.0	5.89E-5	0.0015	2.23E-5	4.69E-5	0.0	1.45E-5	3.54E-5	1.78E-5	7.74E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41E-5	0.0	2.13E-5	0.0	0.0	2.21E-5	0.0	0.0	2.05E-5	0.0	3.36E-5	1.04E-5	
Red-crowned Amazon	2.033E-4	1.702E-4	2.434E-4	2.003E-4	2.175E-4	3.609E-4	4.491E-4	6.687E-4	7.589E-4	4.713E-4	4.197E-4	6.245E-4	3.749E-4	4.453E-4	4.502E-4	4.606E-4	5.167E-4	2.904E-4	4.965E-4	4.603E-4	5.5E-4	9.334E-4	4.651E-4	4.105E-4	3.148E-4	1.816E-4	2.937E-4	2.047E-4	6.8E-5	6.85E-5	6.58E-5	8.94E-5	5.58E-5	5.78E-5	0.0	1.238E-4	1.446E-4	2.036E-4	2.771E-4	1.623E-4	2.7E-4	2.211E-4	1.736E-4	2.676E-4	4.715E-4	2.781E-4	2.182E-4	2.491E-4	
Lilac-crowned Amazon	2.26E-5	1.42E-5	0.0	0.0	4.35E-5	6.44E-5	4.99E-5	1.092E-4	1.459E-4	8.84E-5	1.399E-4	6.69E-5	1.093E-4	1.536E-4	7.26E-5	2.244E-4	1.069E-4	9.68E-5	1.045E-4	6.0E-5	7.86E-5	1.506E-4	2.481E-4	2.566E-4	1.399E-4	1.09E-4	7.34E-5	2.56E-5	0.0	0.0	0.0	2.23E-5	0.0	2.89E-5	2.75E-5	0.0	4.82E-5	4.07E-5	2.13E-5	4.87E-5	2.25E-5	0.0	2.17E-5	0.0	4.1E-5	5.96E-5	5.04E-5	8.3E-5	
Red-lored Amazon	0.0	0.0	0.0	0.0	0.0	0.0	1.0E-5	0.0	0.0	0.0	0.0	0.0	1.56E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Yellow-headed Amazon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38E-5	1.47E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99E-5	0.0	0.0	
Yellow-crowned Amazon	0.0	0.0	0.0	0.0	1.45E-5	0.0	3.99E-5	2.866E-4	1.605E-4	7.36E-5	3.11E-5	1.561E-4	7.81E-5	3.07E-5	5.81E-5	5.9E-5	1.78E-5	0.0	2.61E-5	0.0	1.31E-4	3.312E-4	9.3E-5	5.13E-5	0.0	0.0	0.0	2.56E-5	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	4.07E-5	2.13E-5	3.25E-5	0.0	6.63E-5	0.0	3.15E-5	0.0	0.0	0.0015	0.0	
